source,domain,item,molecule,topology,encoder,prior,prior_weight,horizon,mean_rollout_error,std_rollout_error,n,baseline,baseline_mean_rollout_error,pct_gain_vs_baseline,notes
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,mlp_global,none,0.100000,32,0.132886,0.038600,3,,,,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,graph,0.100000,1,0.001912,0.000473,3,gnn_node:none,0.005211,63.3022,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,graph,0.100000,2,0.002075,0.000339,3,gnn_node:none,0.005732,63.8040,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,graph,0.100000,4,0.002459,0.000278,3,gnn_node:none,0.007735,68.2040,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,graph,0.100000,8,0.003579,0.000649,3,gnn_node:none,0.012392,71.1199,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,graph,0.100000,16,0.007376,0.002551,3,gnn_node:none,0.023644,68.8027,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,graph,0.100000,32,0.021018,0.010882,3,gnn_node:none,0.063730,67.0205,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,none,0.100000,1,0.005211,0.001144,3,,,,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,none,0.100000,2,0.005732,0.000618,3,,,,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,none,0.100000,4,0.007735,0.001982,3,,,,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,none,0.100000,8,0.012392,0.003303,3,,,,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,none,0.100000,16,0.023644,0.006357,3,,,,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,none,0.100000,32,0.063730,0.021876,3,,,,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,permuted_graph,0.100000,1,0.001868,0.000303,3,gnn_node:none,0.005211,64.1618,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,permuted_graph,0.100000,2,0.001989,0.000157,3,gnn_node:none,0.005732,65.3019,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,permuted_graph,0.100000,4,0.002441,0.000161,3,gnn_node:none,0.007735,68.4350,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,permuted_graph,0.100000,8,0.003852,0.000576,3,gnn_node:none,0.012392,68.9186,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,permuted_graph,0.100000,16,0.007963,0.002728,3,gnn_node:none,0.023644,66.3209,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,permuted_graph,0.100000,32,0.022249,0.012532,3,gnn_node:none,0.063730,65.0885,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,random_graph,0.100000,1,0.001893,0.000330,3,gnn_node:none,0.005211,63.6699,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,random_graph,0.100000,2,0.002014,0.000184,3,gnn_node:none,0.005732,64.8742,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,random_graph,0.100000,4,0.002459,0.000169,3,gnn_node:none,0.007735,68.2130,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,random_graph,0.100000,8,0.003866,0.000678,3,gnn_node:none,0.012392,68.8026,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,random_graph,0.100000,16,0.008044,0.002924,3,gnn_node:none,0.023644,65.9772,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,gnn_node,random_graph,0.100000,32,0.023353,0.012225,3,gnn_node:none,0.063730,63.3570,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,mlp_global,none,0.100000,1,0.009037,0.000470,3,,,,
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,mlp_global,none,0.100000,2,0.009581,0.000622,3,,,,
